2026-04-07 19:44:51.742   491-491   System.out              com.jieshi.personnel                 I  getValue: columnName=villageCommunity, index=17, value=南溪村
2026-04-07 19:44:51.742   491-491   System.out              com.jieshi.personnel                 I  getValue: columnName=workExperiences, index=18, value=1961年在南溪村参加工作\n1964年起任南溪村党支部书记
2026-04-07 19:44:51.743   491-491   System.out              com.jieshi.personnel                 I  getValue: columnName=awardPunishments, index=19, value=
2026-04-07 19:44:51.743   491-491   System.out              com.jieshi.personnel                 I  getValue: columnName=familyMembers, index=20, value=
2026-04-07 19:44:51.743   491-491   System.out              com.jieshi.personnel                 I  getValue: columnName=status, index=21, value=NORMAL
2026-04-07 19:44:51.743   491-491   System.out              com.jieshi.personnel                 I  getValue: columnName=createTime, index=22, value=2026-04-07 19:44:46
2026-04-07 19:44:51.743   491-491   System.out              com.jieshi.personnel                 I  getValue: columnName=updateTime, index=23, value=2026-04-07 19:44:46
2026-04-07 19:44:51.743   491-491   System.out              com.jieshi.personnel                 I  getValue: columnName=id, index=0, value=C2030
2026-04-07 19:44:51.743   491-491   System.out              com.jieshi.personnel                 I  getValue: columnName=name, index=1, value=周勇
2026-04-07 19:44:51.743   491-491   System.out              com.jieshi.personnel                 I  getValue: columnName=gender, index=2, value=男
2026-04-07 19:44:51.743   491-491   System.out              com.jieshi.personnel                 I  getValue: columnName=birthDate, index=3, value=1980-11-21
2026-04-07 19:44:51.743   491-491   System.out              com.jieshi.personnel                 I  getValue: columnName=ethnicity, index=4, value=侗族
2026-04-07 19:44:51.743   491-491   System.out              com.jieshi.personnel                 I  getValue: columnName=politicalStatus, index=5, value=民主党派
2026-04-07 19:44:51.743   491-491   System.out              com.jieshi.personnel                 I  getValue: columnName=education, index=6, value=初中
2026-04-07 19:44:51.743   491-491   System.out              com.jieshi.personnel                 I  getValue: columnName=major, index=7, value=行政管理
2026-04-07 19:44:51.743   491-491   System.out              com.jieshi.personnel                 I  getValue: columnName=workStartDate, index=8, value=1958-04-01
2026-04-07 19:44:51.743   491-491   System.out              com.jieshi.personnel                 I  getValue: columnName=phone, index=9, value=15986687947
2026-04-07 19:44:51.743   491-491   System.out              com.jieshi.personnel                 I  getValue: columnName=nativePlace, index=10, value=广东汕头
2026-04-07 19:44:51.743   491-491   System.out              com.jieshi.personnel                 I  getValue: columnName=address, index=11, value=碣石镇南溪村
2026-04-07 19:44:51.743   491-491   System.out              com.jieshi.personnel                 I  getValue: columnName=currentPosition, index=12, value=南溪村村委会主任
2026-04-07 19:44:51.743   491-491   System.out              com.jieshi.personnel                 I  getValue: columnName=comment, index=13, value=熟悉村情民意，群众基础好，工作能力强
2026-04-07 19:44:51.744   491-491   System.out              com.jieshi.personnel                 I  getValue: columnName=personnelType, index=14, value=村两委干部
2026-04-07 19:44:51.744   491-491   System.out              com.jieshi.personnel                 I  getValue: columnName=institution, index=15, value=
2026-04-07 19:44:51.744   491-491   System.out              com.jieshi.personnel                 I  getValue: columnName=positionOrder, index=16, value=30
2026-04-07 19:44:51.744   491-491   System.out              com.jieshi.personnel                 I  getValue: columnName=villageCommunity, index=17, value=南溪村
